Datetime  User  Secret_word  Guess_No  Guesses  
2022-01-31 11:47  ME  LIGHT  3  ['ALERT', 'SONIC', 'LIGHT']  
2022-01-31 18:42  ME  LIGHT  3  ['ALERT', 'SONIC', 'LIGHT']  
2022-02-01 08:10  ME  THOSE  3  ['ALERT', 'SONIC', 'THOSE']  
2022-02-02 09:24  ME  MOIST  4  ['ALERT', 'SONIC', 'HOIST', 'MOIST']  
2022-02-03 08:47  ME  SHARD  5  ['ALERT', 'SONIC', 'SCARF', 'SHARP', 'SHARD']  
2022-02-05 11:21  ME  ALOFT  2  ['ALERT', 'ALOFT']  
2022-02-06 18:43  Robot  SKILL  4  ['ALERT', 'DOILY', 'CHILL', 'SKILL']  
2022-02-06 10:00  ME  SKILL  3  ['ALERT', 'SONIC', 'SKILL']  
2022-02-06 18:59  Robot  SKILL  3  ['ALERT', 'LOUSY', 'SKILL']  
2022-02-06 19:47  ME  SKILL  3  ['ALERT', 'LOUSY', 'SKILL']  
2022-02-06 19:52  Milla  SKILL  4  ['STARE', 'SHOCK', 'SILKS', 'SKILL']  
2022-02-07 09:18  ME  ELDER  4  ['ALERT', 'FLYER', 'OLDER', 'ELDER']  
2022-02-07 09:27  Milla  ELDER  3  ['SONIC', 'ALERT', 'ELDER']  
2022-02-07 10:47  Robot  ELDER  5  ['ALERT', 'FLIER', 'BLUER', 'OLDER', 'ELDER']  
2022-02-07 11:45  ME  ELDER  3  ['ALERT', 'EDIFY', 'ELDER']  
2022-02-07 14:23  Robot  ELDER  4  ['ALERT', 'CUPID', 'OLDER', 'ELDER']  
2022-02-07 14:33  Robot  ELDER  3  ['ORATE', 'UNLID', 'ELDER']  
2022-02-07 16:05  Robot  ELDER  3  ['ALERT', 'EDIFY', 'ELDER']  
2022-02-07 16:13  Robot  ELDER  4  ['ORATE', 'LUPIN', 'CYBER', 'ELDER']   
2022-02-08 15:39  ME  FRAME  3  ['ORATE', 'CAGED', 'FRAME']  
2022-02-08 15:42  Robot  FRAME  4  ['ORATE', 'GUCKS', 'AMBER', 'FRAME']  
2022-02-09 08:51  ME  HUMOR  3  ['ORATE', 'CHOIR', 'HUMOR']  
2022-02-10 08:31  ME  PAUSE  4  ['CRANE', 'AGILE', 'TAUPE', 'PAUSE']  
2022-02-10 08:34  Robot  PAUSE  4  ['ORATE', 'GLIMS', 'CAUSE', 'PAUSE']  
2022-02-10 08:35  Robot  PAUSE  4  ['CRANE', 'BLIST', 'AMUSE', 'PAUSE']  
2022-02-10 20:23  Milla  PAUSE  3  ['ORATE', 'FALSE', 'PAUSE']  
2022-02-11 09:25  ME  ULCER  4  ['ALERT', 'FLIER', 'OLDER', 'ULCER']  
2022-02-11 09:27  Robot  ULCER  4  ['ORATE', 'LUPIN', 'BLUER', 'ULCER']  
2022-02-11 10:03  Robot  ULCER  3  ['ALERT', 'EDIFY', 'ULCER']  
2022-02-11 12:19  Robot  PUNCH  4  ['ORATE', 'SULCI', 'NYMPH', 'PUNCH']  
2022-02-11 14:10  Robot  READY  3  ['ORATE', 'DIMLY', 'READY']  
2022-02-11 14:12  Robot  FRITZ  3  ['ALERT', 'HOUFS', 'FRITZ']  
2022-02-11 14:32  Robot  MELON  4  ['ALERT', 'BINGO', 'LEMON', 'MELON']  
2022-02-11 15:12  Robot  VIDEO  3  ['ALERT', 'DINOS', 'VIDEO']  
2022-02-11 15:18  Robot  QUELL  4  ['ALERT', 'WHIDS', 'KNEEL', 'QUELL']  
